FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,RATE
1001,872679.179,1094432.99,1998,27.0,11.3,17.08,1.38,0.057,90.63
1003,789777.5039,884557.0795,1998,25.9,11.0,13.13,1.43,0.082,72.03
1005,997210.9974,1033023.763,1998,28.9,22.7,15.8,1.04,0.021,88.35
1007,822862.4715,1141553.577,1998,30.1,16.9,17.49,1.44,0.126,88.35
1009,863725.1736,1255735.164,1998,29.4,12.9,18.32,2.35,0.162,81.26
1011,964066.8275,1055199.419,1998,28.1,28.0,15.99,1.27,0.024,73.53
1013,877731.5725,1007285.71,1998,27.6,23.4,14.78,1.17,0.03,73.79
1015,933856.5711,1239468.533,1998,28.7,16.1,16.7,1.72,0.147,97.47
1017,984214.6861,1148648.711,1998,28.6,16.8,16.23,1.25,0.081,89.29
1019,949215.6474,1286592.363,1998,30.0,16.1,18.18,1.8,0.166,82.92
1021,862209.9831,1128435.63,1998,29.6,16.0,17.39,1.38,0.107,90.12
1023,726606.4744,1023615.755,1998,26.4,21.1,14.97,1.24,0.054,70.05
1025,770408.8693,988910.4968,1998,26.2,20.9,14.49,1.18,0.081,69.4
1027,936619.6404,1183406.326,1998,28.8,14.5,15.52,1.47,0.12,79.7
1029,963188.5886,1231820.526,1998,29.8,14.4,16.01,1.49,0.179,91.29
1031,946787.0873,975094.3328,1998,25.5,14.5,15.81,0.85,0.026,75.86
1033,743789.2745,1325454.106,1998,27.7,14.0,18.22,2.02,0.101,84.75
1035,851719.0504,968600.8416,1998,27.2,25.7,13.83,1.0,0.046,78.3
1037,904809.5675,1142654.543,1998,28.4,15.8,16.18,1.51,0.101,79.29
1039,904857.0021,953605.3385,1998,27.9,19.7,14.94,0.84,0.033,93.96
1041,912418.1539,1008415.674,1998,28.0,20.4,15.45,1.15,0.024,79.31
1043,834706.1576,1269855.848,1998,29.1,13.2,19.14,2.3,0.175,81.65
1045,981951.9843,982254.8233,1998,27.7,16.9,15.87,0.89,0.023,87.66
1047,831746.8892,1067060.135,1998,27.3,28.0,16.9,1.25,0.055,89.13
1049,927594.6994,1316221.413,1998,30.5,16.2,18.45,1.89,0.119,74.81
1051,917880.3462,1105980.039,1998,26.5,12.6,17.27,1.23,0.054,87.65
1053,839009.4497,933580.2072,1998,30.0,20.2,14.13,0.94,0.065,89.89
1055,911548.6958,1267867.342,1998,30.1,16.2,18.5,1.84,0.121,91.54
1057,759213.3557,1216835.014,1998,28.8,16.7,18.5,1.92,0.158,85.66
1059,742765.9875,1296358.466,1998,29.4,17.0,18.3,1.48,0.103,94.14
1061,964463.038,942645.4236,1998,29.8,18.6,16.86,0.72,0.035,83.15
1063,747835.8866,1118587.797,1998,25.1,32.7,17.64,1.65,0.085,76.39
1065,778699.4525,1111106.207,1998,27.0,25.4,17.45,1.48,0.095,80.25
1067,1015751.445,995307.1768,1998,27.1,17.3,15.81,0.88,0.02,77.53
1069,1014495.139,954644.0686,1998,27.4,16.2,17.73,0.97,0.026,77.27
1071,906128.3197,1349861.498,1998,31.5,14.4,18.13,1.96,0.091,90.96
1073,838191.1631,1205354.6,1998,25.8,14.1,18.4,3.12,0.246,80.63
1075,725857.7,1220472.403,1998,28.8,17.3,18.57,1.75,0.084,87.39
1077,755443.8463,1349000.612,1998,26.6,13.5,19.02,2.07,0.097,79.19
1079,790299.6906,1309506.198,1998,29.9,15.2,19.22,2.1,0.115,88.41
1081,991482.718,1114381.651,1998,23.4,14.6,16.87,1.17,0.047,77.87
1083,817073.2449,1344348.673,1998,28.4,13.0,19.79,2.21,0.076,79.49
1085,876181.2191,1052196.1,1998,25.9,28.9,15.69,1.37,0.034,71.03
1087,962776.2814,1087058.722,1998,23.3,29.6,16.51,1.23,0.033,70.76
1089,856563.8724,1342883.807,1998,22.5,10.7,18.87,2.16,0.072,73.38
1091,768811.3741,1052639.321,1998,26.4,22.5,16.22,1.32,0.068,76.21
1093,741675.3786,1261966.009,1998,30.3,16.0,18.2,1.83,0.103,76.19
1095,883149.4316,1301065.899,1998,30.7,15.6,18.63,1.92,0.096,89.68
1097,743214.0162,886353.9691,1998,26.4,19.0,13.28,1.51,0.085,88.3
