FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,RATE
1001,872679.179,1094432.99,2011,25.8,14.9,10.27,0.64,0.029,78.07
1003,789777.5039,884557.0795,2011,21.5,13.4,8.06,0.56,0.015,59.77
1005,997210.9974,1033023.763,2011,26.9,29.5,9.3,0.4,0.007,82.43
1007,822862.4715,1141553.577,2011,30.2,22.2,10.1,0.65,0.054,81.91
1009,863725.1736,1255735.164,2011,27.9,14.9,10.92,0.84,0.052,73.79
1011,964066.8275,1055199.419,2011,27.5,32.8,9.84,0.38,0.01,62.24
1013,877731.5725,1007285.71,2011,28.9,24.1,9.21,0.45,0.009,73.37
1015,933856.5711,1239468.533,2011,27.1,20.9,10.93,0.96,0.055,89.15
1017,984214.6861,1148648.711,2011,29.0,23.7,10.0,0.52,0.034,89.51
1019,949215.6474,1286592.363,2011,26.5,23.8,11.05,1.23,0.038,79.71
1021,862209.9831,1128435.63,2011,28.4,18.3,10.07,0.57,0.062,83.46
1023,726606.4744,1023615.755,2011,25.4,27.3,9.17,0.4,0.016,59.8
1025,770408.8693,988910.4968,2011,24.9,26.3,9.02,0.49,0.018,60.19
1027,936619.6404,1183406.326,2011,29.6,18.7,10.52,0.72,0.063,76.5
1029,963188.5886,1231820.526,2011,29.2,17.2,10.91,0.86,0.059,87.36
1031,946787.0873,975094.3328,2011,23.9,16.9,9.07,0.43,0.006,69.15
1033,743789.2745,1325454.106,2011,25.9,18.7,9.71,0.58,0.025,81.91
1035,851719.0504,968600.8416,2011,28.1,27.9,8.99,0.5,0.009,76.58
1037,904809.5675,1142654.543,2011,30.4,25.5,10.09,0.52,0.064,73.12
1039,904857.0021,953605.3385,2011,29.2,24.2,8.99,0.49,0.007,90.12
1041,912418.1539,1008415.674,2011,28.0,18.2,9.06,0.45,0.008,76.5
1043,834706.1576,1269855.848,2011,27.5,18.2,10.86,0.69,0.036,78.09
1045,981951.9843,982254.8233,2011,24.2,18.8,9.12,0.49,0.006,83.31
1047,831746.8892,1067060.135,2011,27.1,35.7,10.2,0.59,0.021,82.62
1049,927594.6994,1316221.413,2011,28.2,20.3,11.01,0.88,0.025,71.4
1051,917880.3462,1105980.039,2011,26.9,13.8,10.17,0.5,0.03,81.83
1053,839009.4497,933580.2072,2011,28.1,25.5,8.87,0.49,0.011,79.84
1055,911548.6958,1267867.342,2011,28.5,21.0,11.09,0.94,0.041,85.62
1057,759213.3557,1216835.014,2011,27.8,22.5,9.96,0.64,0.024,83.37
1059,742765.9875,1296358.466,2011,26.0,19.9,9.61,0.6,0.022,96.09
1061,964463.038,942645.4236,2011,27.9,24.4,8.98,0.39,0.006,80.59
1063,747835.8866,1118587.797,2011,26.7,35.1,10.01,0.45,0.034,70.4
1065,778699.4525,1111106.207,2011,26.7,28.5,10.07,0.68,0.038,78.15
1067,1015751.445,995307.1768,2011,24.0,18.7,9.06,0.49,0.006,71.45
1069,1014495.139,954644.0686,2011,25.5,17.5,9.15,0.44,0.005,67.42
1071,906128.3197,1349861.498,2011,28.8,17.9,10.91,0.76,0.019,90.73
1073,838191.1631,1205354.6,2011,22.7,18.7,10.72,1.25,0.08,66.8
1075,725857.7,1220472.403,2011,26.8,22.1,9.42,0.66,0.015,83.0
1077,755443.8463,1349000.612,2011,23.7,16.4,9.94,0.61,0.025,75.78
1079,790299.6906,1309506.198,2011,27.7,18.0,10.3,0.74,0.021,87.27
1081,991482.718,1114381.651,2011,21.3,21.4,10.01,0.38,0.02,67.19
1083,817073.2449,1344348.673,2011,24.2,13.9,10.54,0.8,0.017,70.79
1085,876181.2191,1052196.1,2011,26.2,27.1,9.9,0.48,0.013,67.01
1087,962776.2814,1087058.722,2011,25.3,30.9,10.0,0.49,0.015,66.12
1089,856563.8724,1342883.807,2011,20.6,13.8,10.72,0.76,0.016,63.48
1091,768811.3741,1052639.321,2011,22.1,24.6,9.82,0.46,0.024,72.35
1093,741675.3786,1261966.009,2011,27.5,25.6,9.73,0.59,0.018,76.73
1095,883149.4316,1301065.899,2011,28.2,19.1,10.98,0.74,0.026,89.49
1097,743214.0162,886353.9691,2011,25.7,19.7,8.18,0.61,0.024,73.57
1099,815207.5273,981058.0214,2011,27.1,28.7,9.07,0.45,0.013,71.49
1101,916722.625,1063658.541,2011,22.2,23.2,9.98,0.46,0.013,61.67
1103,832538.727,1305761.382,2011,26.5,16.8,10.59,0.84,0.021,74.33
1105,811039.8848,1100138.096,2011,26.5,33.0,10.17,0.61,0.035,73.35
1107,731203.5468,1165053.63,2011,27.4,26.5,9.84,0.57,0.021,80.15
1109,946548.7153,1019904.422,2011,22.8,25.6,9.23,0.41,0.008,73.64
1111,973285.2542,1190092.777,2011,29.2,22.1,10.24,0.68,0.054,62.51
1113,1011295.822,1081493.685,2011,27.6,20.1,9.97,0.37,0.012,88.69
1115,889764.201,1228541.704,2011,26.4,17.3,10.97,1.09,0.077,81.68
1117,862964.3387,1175199.431,2011,18.2,8.1,10.55,1.09,0.096,53.99
1119,727404.035,1087525.042,2011,24.9,39.1,9.86,0.51,0.026,68.27
1121,907246.3344,1192676.758,2011,27.1,26.2,10.65,0.87,0.081,84.27
1123,947322.4966,1138867.713,2011,27.5,18.8,10.11,0.41,0.04,72.75
1125,783090.3354,1170540.029,2011,23.0,20.2,10.03,0.72,0.039,72.14
1127,798892.0647,1229583.653,2011,29.5,22.1,10.44,0.98,0.042,110.71
1129,737348.0421,956049.341,2011,25.9,18.9,8.75,0.48,0.022,73.72
1131,816409.2706,1027963.482,2011,26.4,39.9,9.8,0.49,0.015,81.52
1133,788404.7509,1267513.85,2011,28.9,19.8,10.31,0.69,0.025,87.52
4001,-1210740.252,1455925.988,2011,27.4,36.5,4.36,0.21,0.002,25.72
4003,-1290611.96,1071907.565,2011,21.7,19.6,4.19,0.22,0.0,47.79
4005,-1405359.239,1537195.839,2011,22.2,21.6,3.9,0.24,0.001,29.35
4007,-1355993.094,1298458.724,2011,27.4,25.7,4.78,0.25,0.0,51.47
4009,-1286205.946,1189918.657,2011,23.0,26.0,4.63,0.26,0.0,43.87
4011,-1222278.216,1212493.161,2011,21.3,13.9,4.71,0.31,0.0,47.92
4012,-1644757.363,1340753.453,2011,27.6,24.2,6.22,0.34,0.0,35.96
4013,-1517262.179,1274184.658,2011,20.3,17.4,7.38,0.77,0.0,43.64
4015,-1583919.555,1553444.329,2011,30.1,21.7,3.66,0.29,0.0,75.22
4017,-1284765.39,1467535.868,2011,25.2,32.4,4.03,0.22,0.003,36.78
4019,-1476191.451,1125771.422,2011,20.2,20.4,5.63,0.34,0.0,43.93
4021,-1420586.8,1207586.372,2011,24.3,17.4,6.07,0.57,0.0,42.54
4023,-1398761.173,1048495.378,2011,18.2,26.2,4.15,0.19,0.0,28.66
4025,-1498489.345,1412798.518,2011,24.4,18.4,4.56,0.28,0.0,45.37
4027,-1657902.488,1234156.053,2011,19.7,22.3,7.3,0.41,0.0,35.96
5001,422335.6565,1257742.809,2011,28.3,18.5,10.2,0.6,0.015,82.54
5003,391924.6564,1133376.502,2011,27.2,19.8,9.23,0.54,0.006,79.13
5005,325944.8231,1477160.052,2011,28.1,16.8,8.84,0.45,0.008,75.97
5007,155094.5293,1478108.344,2011,21.5,12.1,8.8,0.87,0.01,52.32
5009,258755.232,1477267.159,2011,27.2,16.9,8.02,0.41,0.004,69.77
5011,354204.4236,1162472.481,2011,27.9,24.4,8.92,0.55,0.009,72.51
5013,322441.5019,1171500.858,2011,30.5,16.5,8.74,0.55,0.011,83.19
5015,218922.7896,1479770.985,2011,25.3,18.7,8.06,0.61,0.005,56.76
5017,435421.231,1143899.148,2011,27.3,33.4,9.81,0.64,0.005,78.07
5019,258696.4416,1224518.294,2011,24.5,23.1,8.21,0.43,0.013,67.72
5021,496062.5084,1494564.049,2011,31.0,20.1,11.05,1.1,0.017,88.06
5023,356975.247,1394535.948,2011,26.9,16.2,9.22,0.59,0.021,70.21
5025,350188.7783,1210634.808,2011,27.4,16.7,8.84,0.5,0.019,75.42
5027,256754.7548,1130947.154,2011,25.5,26.4,8.0,0.31,0.014,75.86
5029,297531.8217,1361313.732,2011,27.7,23.0,9.12,1.15,0.012,67.46
5031,480321.0855,1433405.663,2011,25.2,20.6,11.24,1.43,0.021,63.91
5033,157810.2161,1394155.534,2011,29.9,18.0,8.42,0.69,0.009,76.67
5035,513412.7897,1365386.885,2011,27.7,26.6,11.07,1.54,0.018,91.95
5037,471183.736,1372833.132,2011,28.9,19.2,11.09,1.65,0.021,91.52
5039,306848.4113,1216976.821,2011,30.6,21.5,8.56,0.39,0.018,85.94
5041,435913.8349,1207239.844,2011,28.3,27.6,10.02,0.65,0.008,70.21
5043,394404.8698,1178013.43,2011,25.0,22.6,9.4,0.48,0.009,70.66
5045,331289.0617,1349668.8,2011,23.3,14.7,9.35,1.2,0.022,68.87
5047,189625.6278,1386218.18,2011,29.2,20.9,8.35,0.7,0.007,83.03
5049,371643.9693,1489698.908,2011,28.3,21.4,8.9,0.36,0.013,68.74
5051,259314.0964,1283332.464,2011,28.8,20.9,8.46,0.49,0.013,74.63
5053,326626.6293,1253536.526,2011,28.2,11.5,8.99,0.47,0.029,84.1
5055,485077.6864,1465822.724,2011,29.7,17.4,11.24,1.05,0.018,75.98
5057,214525.827,1188055.448,2011,25.6,24.7,8.0,0.46,0.016,76.09
5059,278873.2242,1254962.935,2011,31.1,20.3,8.53,0.54,0.018,81.46
5061,183788.2959,1226838.439,2011,28.4,20.9,8.0,0.49,0.018,85.14
5063,396986.1129,1419036.274,2011,27.4,21.4,9.88,0.67,0.03,75.21
5065,364580.0196,1457251.02,2011,28.5,20.5,9.01,0.48,0.018,70.63
5067,429625.2692,1404670.075,2011,32.3,23.9,10.87,1.27,0.031,87.22
5069,371628.2943,1252982.597,2011,27.8,24.3,9.58,0.64,0.029,74.58
5071,228180.1822,1393640.817,2011,26.1,20.8,8.49,0.65,0.005,74.49
5073,221537.5884,1132961.495,2011,27.8,24.2,8.0,0.35,0.022,90.62
5075,436707.5398,1454580.204,2011,30.2,23.0,10.32,0.98,0.026,87.26
5077,473424.8955,1315286.981,2011,31.0,35.2,10.5,0.92,0.014,80.12
5079,391302.5952,1219018.366,2011,31.3,25.4,9.47,0.62,0.016,61.99
5081,162556.8087,1183225.108,2011,28.1,17.6,7.99,0.56,0.036,81.8
5083,206087.9587,1353403.041,2011,29.4,20.0,8.43,0.7,0.007,88.53
5085,373299.2293,1307381.435,2011,26.0,13.7,9.99,0.78,0.032,81.45
5087,203229.8493,1442388.352,2011,29.0,22.6,8.06,0.62,0.005,71.64
5089,295148.9411,1473943.42,2011,29.1,20.5,8.23,0.43,0.005,80.5
5091,195029.3472,1140265.061,2011,29.0,21.5,8.0,0.56,0.032,81.22
5093,532470.4543,1428975.558,2011,30.1,25.4,11.08,1.35,0.017,89.28
5095,435774.9556,1301719.597,2011,28.3,31.6,10.5,0.74,0.016,97.17
5097,213106.9019,1277843.282,2011,28.8,21.9,8.05,0.53,0.01,63.65
5099,247970.8945,1180864.704,2011,27.8,23.5,8.01,0.37,0.013,78.73
5101,248778.5402,1433394.497,2011,26.3,21.3,8.01,0.57,0.005,75.75
5103,287345.1173,1174251.825,2011,27.7,24.1,8.22,0.43,0.011,82.56
5105,277874.0963,1325399.075,2011,30.6,16.4,8.59,0.39,0.014,78.68
5107,469554.445,1275605.39,2011,29.2,34.0,10.13,0.9,0.01,96.1
5109,214452.0054,1235896.943,2011,27.4,20.5,8.0,0.5,0.013,78.46
5111,479240.9242,1404530.665,2011,32.5,25.0,11.49,1.33,0.022,108.69
5113,161456.3368,1270801.319,2011,28.7,22.1,8.0,0.46,0.014,73.69
5115,266862.4365,1381043.102,2011,24.6,22.1,8.65,0.61,0.007,77.69
5117,403371.9341,1317212.819,2011,27.8,21.7,10.53,0.63,0.024,83.17
5119,334765.1331,1307555.833,2011,23.7,16.6,9.73,0.8,0.03,63.44
5121,442039.221,1488555.733,2011,28.4,23.4,10.19,0.83,0.018,78.15
5123,474973.4109,1342390.793,2011,28.4,32.9,10.67,1.17,0.017,73.65
5125,302180.008,1292556.533,2011,26.9,10.0,8.96,0.63,0.025,62.4
5127,175621.6712,1313055.744,2011,29.9,22.3,8.01,0.62,0.01,79.99
5129,295163.9777,1433919.742,2011,29.7,28.6,8.09,0.38,0.006,84.72
5131,155813.0466,1350516.749,2011,28.5,21.2,8.17,0.92,0.009,71.28
5133,161324.8127,1216143.217,2011,28.1,21.7,8.0,0.48,0.025,72.33
5135,402854.2096,1466357.015,2011,29.2,24.5,9.16,0.57,0.023,70.29
5137,343883.5923,1430021.734,2011,28.7,22.9,8.69,0.45,0.015,68.8
5139,315228.8032,1128070.39,2011,27.8,21.5,8.46,0.47,0.009,87.13
5141,312908.4832,1397513.836,2011,28.5,22.1,8.63,0.58,0.011,66.15
5143,159433.1948,1437877.144,2011,22.9,20.1,8.31,0.71,0.009,63.25
5145,383682.6063,1364050.577,2011,26.4,18.0,10.17,1.02,0.027,81.09
5147,429367.2299,1358372.258,2011,29.6,27.3,10.9,1.21,0.025,90.95
5149,234284.15,1330289.996,2011,28.2,19.5,8.51,0.46,0.008,85.57
6001,-2234722.915,1929488.249,2011,13.4,13.2,7.21,4.52,0.0,38.87
6003,-2033713.929,1985978.13,2011,18.9,17.4,6.0,0.22,0.0,44.33
6005,-2107443.207,1987762.827,2011,23.0,14.0,5.75,0.66,0.0,52.0
