FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,RATE
1001,872679.179,1094432.99,2004,27.1,11.6,12.61,1.1,0.05,84.98
1003,789777.5039,884557.0795,2004,25.6,10.0,10.58,1.06,0.06,67.2
1005,997210.9974,1033023.763,2004,28.8,23.9,12.92,0.72,0.017,86.34
1007,822862.4715,1141553.577,2004,30.9,17.1,13.21,1.11,0.1,85.3
1009,863725.1736,1255735.164,2004,29.3,12.4,12.96,1.42,0.131,78.85
1011,964066.8275,1055199.419,2004,29.9,30.3,12.91,0.79,0.021,70.34
1013,877731.5725,1007285.71,2004,28.8,21.0,12.14,0.7,0.022,76.34
1015,933856.5711,1239468.533,2004,28.8,16.9,12.56,1.2,0.161,95.44
1017,984214.6861,1148648.711,2004,30.4,17.2,12.86,0.98,0.085,90.14
1019,949215.6474,1286592.363,2004,28.5,16.1,13.15,1.45,0.189,81.91
1021,862209.9831,1128435.63,2004,29.8,14.8,12.97,1.09,0.102,89.14
1023,726606.4744,1023615.755,2004,26.4,20.2,11.13,0.56,0.036,65.66
1025,770408.8693,988910.4968,2004,26.9,20.9,11.1,0.68,0.056,65.77
1027,936619.6404,1183406.326,2004,30.5,13.9,12.08,1.07,0.13,79.06
1029,963188.5886,1231820.526,2004,30.3,14.7,12.29,1.37,0.202,90.82
1031,946787.0873,975094.3328,2004,25.8,14.2,12.48,0.69,0.017,73.63
1033,743789.2745,1325454.106,2004,28.5,14.7,12.53,1.51,0.054,83.79
1035,851719.0504,968600.8416,2004,27.2,23.1,11.52,0.68,0.032,77.63
1037,904809.5675,1142654.543,2004,31.4,14.0,12.91,1.24,0.105,77.56
1039,904857.0021,953605.3385,2004,29.7,18.7,11.85,0.62,0.022,93.71
1041,912418.1539,1008415.674,2004,28.8,18.6,12.41,0.77,0.018,77.98
1043,834706.1576,1269855.848,2004,30.3,13.8,13.08,1.38,0.12,81.68
1045,981951.9843,982254.8233,2004,26.5,16.7,12.89,0.77,0.015,87.33
1047,831746.8892,1067060.135,2004,27.5,27.4,12.44,0.87,0.039,86.85
1049,927594.6994,1316221.413,2004,29.4,15.8,13.02,1.63,0.125,74.49
1051,917880.3462,1105980.039,2004,29.1,12.5,12.95,0.97,0.053,87.27
1053,839009.4497,933580.2072,2004,30.9,20.1,11.08,0.72,0.045,86.07
1055,911548.6958,1267867.342,2004,29.1,16.1,13.28,1.25,0.123,87.03
1057,759213.3557,1216835.014,2004,29.0,17.4,13.08,1.0,0.097,85.82
1059,742765.9875,1296358.466,2004,29.7,17.8,12.41,1.14,0.057,96.33
1061,964463.038,942645.4236,2004,30.6,18.1,12.76,0.58,0.019,82.16
1063,747835.8866,1118587.797,2004,26.6,26.5,12.88,0.79,0.053,73.63
1065,778699.4525,1111106.207,2004,28.6,22.0,12.86,0.84,0.061,81.21
1067,1015751.445,995307.1768,2004,26.8,17.1,12.97,0.63,0.014,75.93
1069,1014495.139,954644.0686,2004,27.0,15.8,13.2,0.75,0.015,74.7
1071,906128.3197,1349861.498,2004,32.7,15.3,12.88,1.76,0.084,92.27
1073,838191.1631,1205354.6,2004,26.1,15.4,13.71,2.13,0.19,74.47
1075,725857.7,1220472.403,2004,29.1,16.8,13.14,1.06,0.051,86.77
1077,755443.8463,1349000.612,2004,26.1,16.2,12.97,1.35,0.053,77.27
1079,790299.6906,1309506.198,2004,29.5,14.7,12.93,1.51,0.068,88.09
1081,991482.718,1114381.651,2004,24.3,16.0,13.09,0.75,0.047,74.72
1083,817073.2449,1344348.673,2004,27.3,12.7,13.31,1.68,0.048,76.7
1085,876181.2191,1052196.1,2004,27.5,25.5,12.23,1.02,0.026,71.49
1087,962776.2814,1087058.722,2004,25.7,28.3,12.93,0.88,0.031,69.05
1089,856563.8724,1342883.807,2004,23.3,11.7,13.11,1.68,0.053,71.98
1091,768811.3741,1052639.321,2004,25.1,21.3,11.86,0.73,0.043,75.53
1093,741675.3786,1261966.009,2004,29.9,17.9,12.83,1.07,0.061,77.94
1095,883149.4316,1301065.899,2004,31.5,15.8,13.17,1.42,0.083,90.56
1097,743214.0162,886353.9691,2004,28.3,20.0,10.54,1.04,0.069,82.55
1099,815207.5273,981058.0214,2004,27.6,18.5,11.31,0.68,0.044,76.25
1101,916722.625,1063658.541,2004,24.1,19.4,12.79,1.3,0.027,71.27
1103,832538.727,1305761.382,2004,29.3,14.0,12.81,1.64,0.072,79.48
1105,811039.8848,1100138.096,2004,26.8,30.4,12.83,0.85,0.058,75.49
1107,731203.5468,1165053.63,2004,26.3,20.8,13.25,0.9,0.048,83.09
1109,946548.7153,1019904.422,2004,25.3,21.4,12.72,0.76,0.017,76.9
1111,973285.2542,1190092.777,2004,29.8,16.1,12.71,1.33,0.151,65.63
1113,1011295.822,1081493.685,2004,29.7,19.4,13.28,0.9,0.027,94.69
1115,889764.201,1228541.704,2004,29.3,13.1,13.12,1.6,0.155,87.85
1117,862964.3387,1175199.431,2004,21.0,7.0,13.35,1.87,0.172,63.54
1119,727404.035,1087525.042,2004,25.7,28.3,12.19,0.74,0.039,73.48
1121,907246.3344,1192676.758,2004,29.7,17.8,12.66,1.42,0.148,87.14
1123,947322.4966,1138867.713,2004,31.1,17.1,12.85,0.94,0.078,76.97
1125,783090.3354,1170540.029,2004,24.4,17.2,13.5,1.17,0.105,78.66
1127,798892.0647,1229583.653,2004,31.4,16.2,13.58,1.3,0.156,108.88
1129,737348.0421,956049.341,2004,28.4,18.1,10.6,0.66,0.071,77.85
1131,816409.2706,1027963.482,2004,26.4,30.4,11.96,0.7,0.034,81.96
1133,788404.7509,1267513.85,2004,31.0,17.2,13.0,1.19,0.105,87.02
4001,-1210740.252,1455925.988,2004,28.7,29.8,4.11,0.27,0.005,29.94
4003,-1290611.96,1071907.565,2004,24.2,17.1,4.14,0.3,0.0,55.28
4005,-1405359.239,1537195.839,2004,21.7,16.5,3.82,0.31,0.002,34.88
4007,-1355993.094,1298458.724,2004,27.5,18.2,4.42,0.21,0.0,58.8
4009,-1286205.946,1189918.657,2004,24.2,22.3,4.34,0.3,0.0,50.62
4011,-1222278.216,1212493.161,2004,22.7,12.5,4.01,0.25,0.0,56.96
4012,-1644757.363,1340753.453,2004,27.7,18.9,6.77,0.53,0.002,44.39
4013,-1517262.179,1274184.658,2004,22.8,13.3,7.58,0.99,0.0,51.51
4015,-1583919.555,1553444.329,2004,32.1,15.4,3.76,0.4,0.016,82.35
4017,-1284765.39,1467535.868,2004,26.9,23.7,4.01,0.25,0.008,42.25
4019,-1476191.451,1125771.422,2004,22.5,15.6,4.87,0.39,0.0,50.4
4021,-1420586.8,1207586.372,2004,25.9,15.1,5.72,0.75,0.0,50.13
4023,-1398761.173,1048495.378,2004,22.0,19.1,3.96,0.28,0.0,34.52
4025,-1498489.345,1412798.518,2004,26.4,12.6,4.51,0.28,0.001,51.99
4027,-1657902.488,1234156.053,2004,21.1,18.4,7.38,0.55,0.001,44.39
5001,422335.6565,1257742.809,2004,27.6,16.8,12.54,1.28,0.023,87.21
5003,391924.6564,1133376.502,2004,29.7,18.0,11.24,1.11,0.013,84.09
5005,325944.8231,1477160.052,2004,30.0,13.4,9.51,0.85,0.008,79.32
5007,155094.5293,1478108.344,2004,26.0,9.5,10.46,1.05,0.011,56.68
5009,258755.232,1477267.159,2004,28.8,14.4,9.17,0.67,0.005,72.42
5011,354204.4236,1162472.481,2004,30.4,20.4,11.01,0.82,0.014,75.6
5013,322441.5019,1171500.858,2004,29.1,14.8,10.99,0.76,0.015,87.99
5015,218922.7896,1479770.985,2004,29.8,14.3,9.28,0.68,0.006,60.35
5017,435421.231,1143899.148,2004,31.1,28.0,12.07,1.2,0.017,82.83
5019,258696.4416,1224518.294,2004,24.3,17.1,10.54,0.66,0.016,72.42
5021,496062.5084,1494564.049,2004,34.0,16.2,12.41,1.79,0.022,90.07
5023,356975.247,1394535.948,2004,27.7,13.7,11.09,0.9,0.022,74.13
5025,350188.7783,1210634.808,2004,27.8,14.4,11.07,0.71,0.026,81.07
5027,256754.7548,1130947.154,2004,25.2,19.8,10.18,0.63,0.017,78.39
5029,297531.8217,1361313.732,2004,30.0,16.1,10.73,1.24,0.015,72.88
5031,480321.0855,1433405.663,2004,27.9,15.4,13.1,2.34,0.025,71.02
5033,157810.2161,1394155.534,2004,31.6,14.3,10.47,1.07,0.011,82.28
5035,513412.7897,1365386.885,2004,29.8,21.9,13.64,2.68,0.032,98.35
5037,471183.736,1372833.132,2004,31.9,18.9,13.57,2.57,0.028,94.46
5039,306848.4113,1216976.821,2004,27.8,18.5,10.92,0.81,0.024,90.45
5041,435913.8349,1207239.844,2004,29.4,23.3,12.67,1.38,0.018,75.66
5043,394404.8698,1178013.43,2004,27.2,18.7,11.61,1.18,0.018,76.11
5045,331289.0617,1349668.8,2004,23.4,12.8,11.37,1.4,0.028,77.44
5047,189625.6278,1386218.18,2004,30.5,15.6,10.06,1.11,0.008,86.06
5049,371643.9693,1489698.908,2004,30.5,17.6,9.38,1.02,0.013,73.85
5051,259314.0964,1283332.464,2004,30.1,15.5,10.49,0.52,0.018,79.79
5053,326626.6293,1253536.526,2004,27.4,11.0,11.11,0.84,0.039,90.09
5055,485077.6864,1465822.724,2004,32.6,15.3,12.67,2.27,0.021,79.76
5057,214525.827,1188055.448,2004,27.8,18.8,10.2,0.7,0.02,79.12
5059,278873.2242,1254962.935,2004,28.5,14.9,10.76,0.6,0.024,85.09
5061,183788.2959,1226838.439,2004,28.9,15.1,10.19,0.57,0.022,89.68
5063,396986.1129,1419036.274,2004,27.9,14.7,11.64,1.28,0.028,80.7
5065,364580.0196,1457251.02,2004,29.2,17.5,10.0,0.95,0.017,76.41
5067,429625.2692,1404670.075,2004,32.5,21.0,12.81,2.12,0.03,91.61
5069,371628.2943,1252982.597,2004,27.3,20.4,11.97,1.19,0.04,80.09
5071,228180.1822,1393640.817,2004,31.6,16.4,9.72,0.97,0.007,78.31
5073,221537.5884,1132961.495,2004,28.5,22.1,10.0,0.71,0.025,92.98
5075,436707.5398,1454580.204,2004,31.9,18.5,11.72,2.06,0.025,92.23
5077,473424.8955,1315286.981,2004,30.4,30.3,13.08,1.66,0.022,86.2
5079,391302.5952,1219018.366,2004,29.5,23.3,11.81,1.11,0.025,67.75
5081,162556.8087,1183225.108,2004,28.2,15.2,10.37,0.9,0.046,85.43
5083,206087.9587,1353403.041,2004,32.6,16.4,9.98,0.99,0.008,89.03
5085,373299.2293,1307381.435,2004,27.9,10.6,12.16,1.39,0.042,86.02
5087,203229.8493,1442388.352,2004,31.3,16.0,9.58,0.8,0.006,76.38
5089,295148.9411,1473943.42,2004,29.1,16.6,9.26,0.51,0.006,81.17
5091,195029.3472,1140265.061,2004,28.8,17.1,10.06,0.61,0.038,84.82
5093,532470.4543,1428975.558,2004,31.6,22.1,13.36,1.9,0.027,95.48
5095,435774.9556,1301719.597,2004,28.4,22.7,13.11,1.7,0.022,102.84
5097,213106.9019,1277843.282,2004,29.3,16.3,10.04,0.42,0.013,68.53
5099,247970.8945,1180864.704,2004,28.0,18.7,10.08,0.71,0.015,82.14
5101,248778.5402,1433394.497,2004,30.8,19.4,9.08,0.7,0.006,80.89
5103,287345.1173,1174251.825,2004,27.6,18.1,10.45,0.64,0.014,85.1
5105,277874.0963,1325399.075,2004,29.4,14.4,10.26,0.85,0.019,84.13
5107,469554.445,1275605.39,2004,29.0,28.7,12.93,1.26,0.017,100.66
5109,214452.0054,1235896.943,2004,28.9,14.8,10.08,0.46,0.016,82.11
5111,479240.9242,1404530.665,2004,34.2,20.3,13.57,2.29,0.027,112.14
5113,161456.3368,1270801.319,2004,29.8,18.4,10.05,0.49,0.018,78.33
5115,266862.4365,1381043.102,2004,29.2,15.8,9.82,0.95,0.009,80.45
5117,403371.9341,1317212.819,2004,28.5,15.1,12.76,1.32,0.031,89.99
5119,334765.1331,1307555.833,2004,24.4,14.8,11.81,1.41,0.04,75.47
