FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,RATE
4015,-1583919.555,1553444.329,2001,32.2,16.2,4.47,0.49,0.015,84.53
4017,-1284765.39,1467535.868,2001,27.5,24.2,4.23,0.29,0.009,45.0
4019,-1476191.451,1125771.422,2001,22.3,13.5,5.86,0.41,0.0,54.58
4021,-1420586.8,1207586.372,2001,25.5,16.4,6.12,0.9,0.0,54.62
4023,-1398761.173,1048495.378,2001,20.2,21.8,4.05,0.25,0.0,37.22
4025,-1498489.345,1412798.518,2001,27.4,13.0,4.81,0.48,0.001,55.1
4027,-1657902.488,1234156.053,2001,22.5,21.6,8.09,0.48,0.001,46.56
5001,422335.6565,1257742.809,2001,30.3,16.7,13.52,1.33,0.024,91.27
5003,391924.6564,1133376.502,2001,29.9,17.3,12.75,1.19,0.024,87.32
5005,325944.8231,1477160.052,2001,31.0,14.1,10.06,0.56,0.008,82.0
5007,155094.5293,1478108.344,2001,27.1,10.0,11.47,0.98,0.011,59.96
5009,258755.232,1477267.159,2001,30.3,15.5,9.95,0.55,0.005,74.89
5011,354204.4236,1162472.481,2001,29.9,21.1,12.12,0.93,0.016,79.29
5013,322441.5019,1171500.858,2001,29.5,15.5,12.04,0.8,0.015,89.88
5015,218922.7896,1479770.985,2001,30.0,16.6,9.96,0.64,0.005,63.2
5017,435421.231,1143899.148,2001,30.4,30.1,13.54,1.41,0.036,85.09
5019,258696.4416,1224518.294,2001,24.7,17.5,11.82,1.09,0.016,73.9
5021,496062.5084,1494564.049,2001,33.6,16.6,13.29,1.32,0.02,92.56
5023,356975.247,1394535.948,2001,28.3,15.2,11.15,0.86,0.02,76.3
5025,350188.7783,1210634.808,2001,29.1,14.0,12.1,0.95,0.025,84.55
5027,256754.7548,1130947.154,2001,26.5,19.2,11.99,1.02,0.017,79.48
5029,297531.8217,1361313.732,2001,29.6,16.4,12.0,1.53,0.014,75.65
5031,480321.0855,1433405.663,2001,29.4,15.2,13.83,1.9,0.022,75.76
5033,157810.2161,1394155.534,2001,30.7,14.2,10.96,1.21,0.011,85.72
5035,513412.7897,1365386.885,2001,30.7,21.9,13.99,2.3,0.026,101.17
5037,471183.736,1372833.132,2001,33.4,19.2,14.35,2.05,0.024,98.25
5039,306848.4113,1216976.821,2001,28.9,20.2,12.02,0.79,0.022,93.09
5041,435913.8349,1207239.844,2001,30.6,23.1,13.75,1.37,0.03,79.19
5043,394404.8698,1178013.43,2001,27.8,17.3,12.51,1.03,0.026,78.46
5045,331289.0617,1349668.8,2001,23.9,11.5,12.25,1.63,0.024,81.96
5047,189625.6278,1386218.18,2001,30.5,16.5,10.56,1.1,0.008,87.36
5049,371643.9693,1489698.908,2001,29.6,21.3,10.24,0.68,0.012,76.69
5051,259314.0964,1283332.464,2001,31.1,15.8,11.52,0.76,0.016,83.81
5053,326626.6293,1253536.526,2001,29.2,10.8,12.32,0.88,0.034,91.85
5055,485077.6864,1465822.724,2001,32.0,14.2,13.51,1.59,0.02,79.44
5057,214525.827,1188055.448,2001,29.7,19.3,11.64,1.06,0.021,81.04
5059,278873.2242,1254962.935,2001,29.5,14.7,11.88,0.87,0.022,88.01
5061,183788.2959,1226838.439,2001,29.1,16.6,11.05,1.04,0.024,91.01
5063,396986.1129,1419036.274,2001,28.9,15.0,11.69,1.01,0.026,84.46
5065,364580.0196,1457251.02,2001,28.9,20.1,10.34,0.76,0.016,78.68
5067,429625.2692,1404670.075,2001,32.8,22.0,13.49,1.75,0.028,95.0
5069,371628.2943,1252982.597,2001,28.6,20.4,12.93,1.25,0.036,83.1
5071,228180.1822,1393640.817,2001,31.2,18.0,10.33,0.78,0.007,80.97
5073,221537.5884,1132961.495,2001,30.0,23.1,11.75,1.11,0.027,94.88
5075,436707.5398,1454580.204,2001,32.5,19.0,12.65,1.47,0.024,94.18
5077,473424.8955,1315286.981,2001,30.8,32.2,13.65,2.05,0.02,89.12
5079,391302.5952,1219018.366,2001,30.5,29.0,12.59,1.09,0.028,70.2
5081,162556.8087,1183225.108,2001,30.0,16.6,11.15,1.27,0.051,89.43
5083,206087.9587,1353403.041,2001,32.6,16.3,10.67,1.22,0.009,89.73
5085,373299.2293,1307381.435,2001,28.4,10.7,13.04,1.68,0.037,88.02
5087,203229.8493,1442388.352,2001,31.0,18.2,10.01,0.49,0.006,79.93
5089,295148.9411,1473943.42,2001,31.4,19.0,10.1,0.63,0.006,83.46
5091,195029.3472,1140265.061,2001,30.9,18.9,11.33,1.19,0.041,86.4
5093,532470.4543,1428975.558,2001,30.9,21.6,13.67,1.65,0.023,98.99
5095,435774.9556,1301719.597,2001,30.5,24.3,13.63,1.78,0.021,105.81
5097,213106.9019,1277843.282,2001,30.3,19.5,10.89,0.55,0.013,70.92
5099,247970.8945,1180864.704,2001,28.8,19.6,11.83,1.23,0.016,82.85
5101,248778.5402,1433394.497,2001,30.4,21.6,9.97,0.45,0.005,83.1
5103,287345.1173,1174251.825,2001,27.7,18.4,12.02,0.8,0.015,87.35
5105,277874.0963,1325399.075,2001,30.2,15.0,11.56,1.33,0.017,87.04
5107,469554.445,1275605.39,2001,29.4,29.0,13.88,1.77,0.019,103.17
5109,214452.0054,1235896.943,2001,28.7,16.9,11.19,0.92,0.017,83.18
5111,479240.9242,1404530.665,2001,37.0,20.4,14.23,1.91,0.024,112.88
5113,161456.3368,1270801.319,2001,29.7,19.8,10.27,0.61,0.02,81.1
5115,266862.4365,1381043.102,2001,28.4,15.6,10.87,1.31,0.008,84.06
5117,403371.9341,1317212.819,2001,29.0,15.6,13.56,1.41,0.028,93.42
