FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,RATE
1001,872679.179,1094432.99,2005,26.4,10.4,12.59,1.17,0.055,85.56
1003,789777.5039,884557.0795,2005,25.5,11.4,10.52,1.23,0.061,65.39
1005,997210.9974,1033023.763,2005,27.7,22.4,12.92,0.7,0.018,86.98
1007,822862.4715,1141553.577,2005,30.2,16.6,13.31,1.79,0.112,86.11
1009,863725.1736,1255735.164,2005,29.4,11.4,12.93,1.38,0.143,78.38
1011,964066.8275,1055199.419,2005,28.7,38.2,12.91,0.79,0.023,70.24
1013,877731.5725,1007285.71,2005,27.5,23.1,12.18,0.82,0.023,76.78
1015,933856.5711,1239468.533,2005,28.6,16.9,12.5,1.6,0.176,96.44
1017,984214.6861,1148648.711,2005,29.3,16.2,12.87,1.2,0.094,91.39
1019,949215.6474,1286592.363,2005,27.9,16.2,13.13,1.76,0.209,82.37
1021,862209.9831,1128435.63,2005,29.0,16.1,12.96,1.53,0.111,87.59
1023,726606.4744,1023615.755,2005,25.6,24.4,11.14,0.8,0.04,65.31
1025,770408.8693,988910.4968,2005,25.6,20.9,11.11,0.94,0.06,65.69
1027,936619.6404,1183406.326,2005,29.3,15.8,12.11,1.45,0.141,78.94
1029,963188.5886,1231820.526,2005,30.0,15.5,12.38,1.63,0.224,91.3
1031,946787.0873,975094.3328,2005,25.6,15.1,12.59,0.68,0.017,72.87
1033,743789.2745,1325454.106,2005,28.1,15.7,12.56,1.44,0.06,84.17
1035,851719.0504,968600.8416,2005,26.5,27.7,11.58,0.8,0.033,78.33
1037,904809.5675,1142654.543,2005,30.8,18.7,12.89,1.32,0.113,77.79
1039,904857.0021,953605.3385,2005,29.8,18.4,11.86,0.59,0.022,94.56
1041,912418.1539,1008415.674,2005,28.5,23.5,12.49,0.8,0.02,78.29
1043,834706.1576,1269855.848,2005,29.9,14.7,13.04,1.28,0.132,81.8
1045,981951.9843,982254.8233,2005,25.9,16.0,12.87,0.69,0.016,88.38
1047,831746.8892,1067060.135,2005,25.9,34.9,12.44,1.0,0.044,87.29
1049,927594.6994,1316221.413,2005,28.8,19.4,13.01,1.65,0.137,74.9
1051,917880.3462,1105980.039,2005,28.3,13.1,12.96,1.17,0.057,85.85
1053,839009.4497,933580.2072,2005,30.6,22.2,11.09,0.77,0.046,86.72
1055,911548.6958,1267867.342,2005,28.6,15.8,13.18,1.39,0.134,89.51
1057,759213.3557,1216835.014,2005,27.8,17.9,13.11,1.23,0.109,84.75
1059,742765.9875,1296358.466,2005,29.3,19.5,12.44,1.06,0.063,96.3
1061,964463.038,942645.4236,2005,30.8,20.3,12.82,0.64,0.019,83.93
1063,747835.8866,1118587.797,2005,26.4,33.9,12.91,1.24,0.064,74.03
1065,778699.4525,1111106.207,2005,27.9,30.4,12.88,1.43,0.073,80.95
1067,1015751.445,995307.1768,2005,25.7,17.6,13.0,0.68,0.015,76.03
1069,1014495.139,954644.0686,2005,26.4,14.9,13.23,0.83,0.015,74.09
1071,906128.3197,1349861.498,2005,31.6,18.8,12.86,1.51,0.091,92.61
1073,838191.1631,1205354.6,2005,25.7,15.7,13.74,2.7,0.208,74.48
1075,725857.7,1220472.403,2005,28.3,17.0,13.11,1.06,0.057,87.4
1077,755443.8463,1349000.612,2005,26.1,18.5,12.95,1.3,0.057,77.33
1079,790299.6906,1309506.198,2005,29.4,16.0,12.91,1.31,0.075,89.14
1081,991482.718,1114381.651,2005,23.5,20.6,13.12,1.32,0.052,74.72
1083,817073.2449,1344348.673,2005,27.1,13.0,13.23,1.63,0.052,76.78
1085,876181.2191,1052196.1,2005,26.6,29.5,12.22,1.01,0.029,72.1
1087,962776.2814,1087058.722,2005,24.5,32.0,12.92,1.1,0.033,69.97
1089,856563.8724,1342883.807,2005,22.7,10.3,13.09,1.63,0.057,69.4
1091,768811.3741,1052639.321,2005,24.4,25.2,11.89,1.05,0.051,75.62
1093,741675.3786,1261966.009,2005,29.1,18.4,12.84,1.06,0.068,78.14
1095,883149.4316,1301065.899,2005,30.5,18.7,13.16,1.45,0.09,89.92
1097,743214.0162,886353.9691,2005,29.0,20.0,10.55,1.31,0.071,81.44
1099,815207.5273,981058.0214,2005,26.6,22.3,11.34,0.93,0.046,77.36
1101,916722.625,1063658.541,2005,23.3,17.4,12.77,1.17,0.029,70.59
1103,832538.727,1305761.382,2005,28.0,14.0,12.8,1.34,0.079,79.94
1105,811039.8848,1100138.096,2005,25.6,34.9,12.88,1.3,0.068,76.85
1107,731203.5468,1165053.63,2005,25.9,23.3,13.25,1.23,0.056,83.39
1109,946548.7153,1019904.422,2005,24.7,28.6,12.72,0.7,0.018,78.47
1111,973285.2542,1190092.777,2005,28.9,19.2,12.75,1.71,0.166,65.75
1113,1011295.822,1081493.685,2005,28.9,20.0,13.32,1.03,0.03,94.77
1115,889764.201,1228541.704,2005,28.9,13.2,13.09,1.69,0.167,87.05
1117,862964.3387,1175199.431,2005,20.9,6.3,13.38,2.4,0.186,62.26
1119,727404.035,1087525.042,2005,25.1,36.6,12.18,0.94,0.048,73.17
1121,907246.3344,1192676.758,2005,29.2,19.3,12.6,1.8,0.159,86.49
1123,947322.4966,1138867.713,2005,29.5,18.2,12.86,1.03,0.085,77.62
1125,783090.3354,1170540.029,2005,24.1,20.4,13.62,1.71,0.119,78.18
1127,798892.0647,1229583.653,2005,30.8,15.6,13.58,1.55,0.175,110.26
1129,737348.0421,956049.341,2005,28.1,20.2,10.64,0.88,0.076,78.06
1131,816409.2706,1027963.482,2005,24.3,37.8,11.97,0.8,0.037,83.13
1133,788404.7509,1267513.85,2005,30.3,21.8,12.99,1.04,0.117,88.16
4001,-1210740.252,1455925.988,2005,28.5,41.7,4.09,0.27,0.006,29.22
4003,-1290611.96,1071907.565,2005,24.8,16.9,4.14,0.27,0.0,54.63
4005,-1405359.239,1537195.839,2005,21.3,18.0,3.82,0.29,0.002,34.23
4007,-1355993.094,1298458.724,2005,26.8,19.9,4.39,0.29,0.0,58.25
4009,-1286205.946,1189918.657,2005,24.4,23.7,4.35,0.3,0.0,50.25
4011,-1222278.216,1212493.161,2005,22.5,12.8,4.01,0.25,0.0,55.42
4012,-1644757.363,1340753.453,2005,27.6,21.6,6.78,0.52,0.002,42.7
4013,-1517262.179,1274184.658,2005,22.4,12.6,7.55,1.05,0.0,50.92
4015,-1583919.555,1553444.329,2005,31.9,15.6,3.75,0.43,0.015,82.13
4017,-1284765.39,1467535.868,2005,26.4,28.8,4.01,0.28,0.009,41.81
4019,-1476191.451,1125771.422,2005,22.8,14.9,4.86,0.42,0.0,50.1
