FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,RATE
1001,872679.179,1094432.99,2003,26.3,10.4,13.88,0.9,0.053,87.26
1003,789777.5039,884557.0795,2003,25.4,10.1,10.46,0.97,0.066,69.49
1005,997210.9974,1033023.763,2003,28.3,22.2,12.65,1.11,0.017,89.24
1007,822862.4715,1141553.577,2003,31.1,16.8,14.64,1.35,0.104,87.6
1009,863725.1736,1255735.164,2003,29.8,11.9,15.17,1.61,0.131,80.98
1011,964066.8275,1055199.419,2003,29.2,26.5,13.19,1.21,0.021,72.01
1013,877731.5725,1007285.71,2003,28.1,20.0,12.27,1.16,0.023,77.24
1015,933856.5711,1239468.533,2003,29.1,16.4,14.99,1.48,0.161,96.33
1017,984214.6861,1148648.711,2003,29.4,16.3,13.5,1.29,0.084,91.99
1019,949215.6474,1286592.363,2003,28.3,15.3,15.67,1.48,0.19,84.64
1021,862209.9831,1128435.63,2003,29.4,14.9,14.52,1.05,0.107,90.18
1023,726606.4744,1023615.755,2003,25.3,18.8,12.53,0.62,0.039,67.23
1025,770408.8693,988910.4968,2003,25.6,19.2,12.27,0.68,0.062,67.06
1027,936619.6404,1183406.326,2003,30.9,14.0,14.16,1.3,0.132,79.82
1029,963188.5886,1231820.526,2003,29.8,14.0,14.33,1.36,0.198,92.23
1031,946787.0873,975094.3328,2003,26.7,13.7,12.15,0.99,0.016,75.79
1033,743789.2745,1325454.106,2003,28.6,14.0,14.32,1.81,0.075,86.37
1035,851719.0504,968600.8416,2003,26.6,22.1,11.47,0.94,0.035,80.5
1037,904809.5675,1142654.543,2003,30.9,13.5,14.18,1.14,0.11,79.45
1039,904857.0021,953605.3385,2003,29.4,17.5,11.87,0.93,0.023,94.84
1041,912418.1539,1008415.674,2003,28.8,17.6,12.65,1.29,0.019,79.73
1043,834706.1576,1269855.848,2003,31.0,13.3,15.3,1.72,0.117,83.54
1045,981951.9843,982254.8233,2003,26.9,15.7,12.12,1.2,0.015,89.2
1047,831746.8892,1067060.135,2003,27.2,25.2,13.86,0.88,0.042,87.5
1049,927594.6994,1316221.413,2003,30.0,15.1,15.85,1.54,0.131,75.82
1051,917880.3462,1105980.039,2003,27.5,12.4,14.09,0.92,0.055,88.9
1053,839009.4497,933580.2072,2003,30.0,18.7,11.15,0.76,0.051,87.48
1055,911548.6958,1267867.342,2003,29.2,15.7,15.61,1.43,0.125,91.92
1057,759213.3557,1216835.014,2003,28.8,16.1,14.76,1.27,0.092,86.19
1059,742765.9875,1296358.466,2003,30.4,17.4,14.3,1.59,0.071,96.65
1061,964463.038,942645.4236,2003,30.6,17.6,12.17,0.8,0.017,84.43
1063,747835.8866,1118587.797,2003,26.6,25.1,14.24,1.11,0.058,76.25
1065,778699.4525,1111106.207,2003,28.6,20.8,14.21,1.19,0.066,81.9
1067,1015751.445,995307.1768,2003,26.5,16.3,12.13,1.18,0.014,77.6
1069,1014495.139,954644.0686,2003,26.5,15.3,12.4,1.0,0.014,75.21
1071,906128.3197,1349861.498,2003,32.2,14.4,15.82,1.47,0.094,93.88
