FIPS,X,Y,Year,SMOKING,POVERTY,PM25,NO2,SO2,RATE
1001,872679.179,1094432.99,2012,25.1,11.4,12.62,0.98,0.02,79.59
1003,789777.5039,884557.0795,2012,20.9,11.31,9.96,0.93,0.012,58.46
1005,997210.9974,1033023.763,2012,26.3,25.29,12.04,0.71,0.005,82.35
1007,822862.4715,1141553.577,2012,29.4,18.43,12.89,1.18,0.038,82.14
1009,863725.1736,1255735.164,2012,27.2,13.35,12.99,1.53,0.032,72.76
1011,964066.8275,1055199.419,2012,26.8,31.59,12.27,0.79,0.007,60.67
1013,877731.5725,1007285.71,2012,28.1,23.22,11.64,0.74,0.006,73.59
1015,933856.5711,1239468.533,2012,26.4,17.79,12.64,1.3,0.034,88.81
1017,984214.6861,1148648.711,2012,28.2,18.53,12.19,1.02,0.021,91.45
1019,949215.6474,1286592.363,2012,25.8,17.71,13.1,1.55,0.022,79.56
1021,862209.9831,1128435.63,2012,27.6,17.0,12.68,1.09,0.041,83.59
1023,726606.4744,1023615.755,2012,24.7,21.42,11.26,0.75,0.015,59.92
1025,770408.8693,988910.4968,2012,24.2,22.03,11.09,0.77,0.016,59.27
1027,936619.6404,1183406.326,2012,28.9,16.18,12.14,1.19,0.039,74.46
1029,963188.5886,1231820.526,2012,28.5,15.72,12.37,1.26,0.035,87.09
1031,946787.0873,975094.3328,2012,23.3,15.34,11.7,0.64,0.004,69.26
1033,743789.2745,1325454.106,2012,25.2,15.19,12.34,1.42,0.017,80.95
1035,851719.0504,968600.8416,2012,27.4,25.33,10.96,0.7,0.007,76.3
1037,904809.5675,1142654.543,2012,29.7,16.77,12.53,1.1,0.041,72.16
1039,904857.0021,953605.3385,2012,28.5,19.37,11.2,0.63,0.005,91.32
1041,912418.1539,1008415.674,2012,27.3,19.56,11.73,0.75,0.005,76.38
1043,834706.1576,1269855.848,2012,26.8,15.27,13.19,1.5,0.021,77.56
1045,981951.9843,982254.8233,2012,23.5,16.67,11.91,0.67,0.004,83.05
1047,831746.8892,1067060.135,2012,26.4,29.85,12.5,0.82,0.018,82.77
1049,927594.6994,1316221.413,2012,27.5,17.63,13.1,1.51,0.016,71.33
1051,917880.3462,1105980.039,2012,26.1,12.73,12.71,0.93,0.02,82.94
1053,839009.4497,933580.2072,2012,27.4,21.93,10.59,0.71,0.008,79.4
1055,911548.6958,1267867.342,2012,27.8,17.18,13.22,1.38,0.025,85.16
1057,759213.3557,1216835.014,2012,27.0,18.26,12.85,1.15,0.015,82.26
1059,742765.9875,1296358.466,2012,25.3,18.76,12.44,1.15,0.015,96.79
1061,964463.038,942645.4236,2012,27.2,19.59,11.67,0.61,0.005,81.07
1063,747835.8866,1118587.797,2012,26.0,30.17,12.6,1.01,0.033,70.95
1065,778699.4525,1111106.207,2012,26.1,24.88,12.67,1.03,0.036,77.81
1067,1015751.445,995307.1768,2012,23.4,17.59,11.93,0.68,0.004,71.17
1069,1014495.139,954644.0686,2012,24.8,16.24,12.21,0.75,0.004,67.42
1071,906128.3197,1349861.498,2012,28.1,16.04,12.93,1.43,0.014,91.85
1073,838191.1631,1205354.6,2012,22.1,15.29,13.22,2.24,0.049,64.29
1075,725857.7,1220472.403,2012,26.1,18.2,12.66,1.02,0.01,83.62
1077,755443.8463,1349000.612,2012,23.1,16.02,12.48,1.35,0.017,74.8
1079,790299.6906,1309506.198,2012,27.0,15.69,12.89,1.45,0.014,86.76
1081,991482.718,1114381.651,2012,20.7,17.57,12.42,0.91,0.013,67.33
1083,817073.2449,1344348.673,2012,23.6,12.93,13.12,1.63,0.012,70.13
1085,876181.2191,1052196.1,2012,25.5,26.89,12.12,0.88,0.01,66.82
1087,962776.2814,1087058.722,2012,24.6,30.08,12.49,0.91,0.01,66.05
1089,856563.8724,1342883.807,2012,20.0,11.25,13.19,1.55,0.011,63.4
1091,768811.3741,1052639.321,2012,21.5,22.73,11.93,0.83,0.024,71.9
1093,741675.3786,1261966.009,2012,26.8,19.08,12.6,1.04,0.011,75.68
1095,883149.4316,1301065.899,2012,27.5,17.34,13.3,1.47,0.016,89.0
1097,743214.0162,886353.9691,2012,25.0,19.21,10.11,1.03,0.019,73.89
1099,815207.5273,981058.0214,2012,26.3,21.63,11.1,0.73,0.011,71.53
1101,916722.625,1063658.541,2012,21.6,18.65,12.48,1.0,0.009,61.4
1103,832538.727,1305761.382,2012,25.8,13.71,13.07,1.53,0.013,73.29
1105,811039.8848,1100138.096,2012,25.8,32.76,12.71,0.95,0.031,73.31
1107,731203.5468,1165053.63,2012,26.7,22.69,12.66,0.98,0.018,79.84
1109,946548.7153,1019904.422,2012,22.2,24.61,11.88,0.72,0.005,73.54
1111,973285.2542,1190092.777,2012,28.5,18.94,12.25,1.28,0.034,61.57
1113,1011295.822,1081493.685,2012,26.8,20.3,12.48,0.86,0.008,88.17
1115,889764.201,1228541.704,2012,25.7,13.39,12.93,1.67,0.048,80.45
1117,862964.3387,1175199.431,2012,17.7,7.11,12.96,1.85,0.061,52.69
1119,727404.035,1087525.042,2012,24.2,31.77,12.17,0.87,0.026,67.37
1121,907246.3344,1192676.758,2012,26.4,19.23,12.51,1.49,0.051,83.61
1123,947322.4966,1138867.713,2012,26.8,17.78,12.39,0.92,0.025,72.98
1125,783090.3354,1170540.029,2012,22.4,17.76,13.06,1.4,0.028,71.61
1127,798892.0647,1229583.653,2012,28.7,17.19,13.28,1.66,0.024,109.72
1129,737348.0421,956049.341,2012,25.2,18.68,10.58,0.73,0.019,74.81
1131,816409.2706,1027963.482,2012,25.7,33.65,11.85,0.72,0.013,81.42
1133,788404.7509,1267513.85,2012,28.2,19.19,12.99,1.2,0.014,87.61
4001,-1210740.252,1455925.988,2012,26.8,33.19,4.18,0.26,0.002,25.04
4003,-1290611.96,1071907.565,2012,21.0,17.47,4.53,0.3,0.0,47.53
4005,-1405359.239,1537195.839,2012,21.5,17.97,3.87,0.31,0.001,28.65
4007,-1355993.094,1298458.724,2012,26.7,19.26,4.84,0.29,0.0,50.17
4009,-1286205.946,1189918.657,2012,22.3,22.39,4.75,0.37,0.0,43.6
4011,-1222278.216,1212493.161,2012,20.7,11.39,4.43,0.31,0.0,47.23
4012,-1644757.363,1340753.453,2012,26.7,22.08,6.77,0.59,0.0,35.22
4013,-1517262.179,1274184.658,2012,19.7,13.33,7.75,1.08,0.0,43.88
4015,-1583919.555,1553444.329,2012,29.2,16.79,4.28,0.41,0.0,75.01
4017,-1284765.39,1467535.868,2012,24.5,25.8,4.04,0.27,0.003,35.7
4019,-1476191.451,1125771.422,2012,19.5,15.83,5.41,0.41,0.0,43.89
4021,-1420586.8,1207586.372,2012,23.6,15.47,6.13,0.81,0.0,40.98
4023,-1398761.173,1048495.378,2012,17.7,22.38,4.15,0.26,0.0,28.51
4025,-1498489.345,1412798.518,2012,23.7,13.63,4.73,0.39,0.0,45.68
4027,-1657902.488,1234156.053,2012,19.1,20.67,7.43,0.52,0.0,35.22
5001,422335.6565,1257742.809,2012,27.6,17.84,12.35,0.95,0.014,81.29
5003,391924.6564,1133376.502,2012,26.6,18.89,11.51,0.79,0.006,78.87
5005,325944.8231,1477160.052,2012,27.4,14.61,9.36,0.5,0.007,74.22
5007,155094.5293,1478108.344,2012,20.9,10.59,10.27,0.87,0.008,52.22
5009,258755.232,1477267.159,2012,26.6,16.0,9.15,0.45,0.003,68.75
5011,354204.4236,1162472.481,2012,27.2,23.37,10.89,0.64,0.009,72.64
5013,322441.5019,1171500.858,2012,29.8,16.16,10.6,0.62,0.01,84.57
5015,218922.7896,1479770.985,2012,24.6,16.63,9.35,0.5,0.004,55.72
5017,435421.231,1143899.148,2012,26.6,31.15,12.18,0.96,0.005,77.7
5019,258696.4416,1224518.294,2012,24.0,20.29,10.27,0.67,0.011,67.4
5021,496062.5084,1494564.049,2012,30.3,18.26,12.51,1.39,0.016,89.62
5023,356975.247,1394535.948,2012,26.3,15.61,10.49,0.75,0.022,69.58
5025,350188.7783,1210634.808,2012,26.7,15.47,10.86,0.64,0.018,75.8
5027,256754.7548,1130947.154,2012,24.8,22.1,10.19,0.64,0.011,74.46
5029,297531.8217,1361313.732,2012,27.1,17.83,10.54,0.95,0.011,67.76
5031,480321.0855,1433405.663,2012,24.6,16.71,12.59,1.57,0.02,62.48
5033,157810.2161,1394155.534,2012,29.2,16.09,9.96,0.85,0.007,76.41
5035,513412.7897,1365386.885,2012,27.0,24.13,12.72,1.94,0.016,91.45
5037,471183.736,1372833.132,2012,28.2,19.36,12.75,1.54,0.02,92.47
5039,306848.4113,1216976.821,2012,30.0,20.44,10.37,0.58,0.017,84.45
5041,435913.8349,1207239.844,2012,27.6,25.97,12.52,0.92,0.007,69.59
5043,394404.8698,1178013.43,2012,24.3,19.88,11.6,0.73,0.008,70.36
5045,331289.0617,1349668.8,2012,22.8,13.15,10.96,1.1,0.021,68.68
5047,189625.6278,1386218.18,2012,28.4,17.22,9.74,0.77,0.005,82.49
5049,371643.9693,1489698.908,2012,27.6,20.13,9.53,0.58,0.013,68.62
5051,259314.0964,1283332.464,2012,28.1,16.9,10.33,0.66,0.012,72.08
5053,326626.6293,1253536.526,2012,27.5,11.23,10.72,0.74,0.028,83.09
5055,485077.6864,1465822.724,2012,28.9,15.66,12.53,1.49,0.017,76.06
5057,214525.827,1188055.448,2012,25.0,21.61,10.2,0.68,0.012,75.91
5059,278873.2242,1254962.935,2012,30.4,15.79,10.38,0.68,0.017,80.14
5061,183788.2959,1226838.439,2012,27.7,18.03,9.79,0.65,0.013,85.72
5063,396986.1129,1419036.274,2012,26.7,16.36,11.13,0.87,0.031,75.52
5065,364580.0196,1457251.02,2012,27.8,19.91,9.89,0.6,0.018,70.37
5067,429625.2692,1404670.075,2012,31.6,23.59,12.3,1.34,0.032,86.83
5069,371628.2943,1252982.597,2012,27.1,22.01,11.65,0.88,0.028,73.65
5071,228180.1822,1393640.817,2012,25.4,18.15,9.54,0.59,0.004,74.66
5073,221537.5884,1132961.495,2012,27.2,23.86,10.07,0.73,0.016,90.3
5075,436707.5398,1454580.204,2012,29.5,20.9,11.77,1.22,0.026,86.85
5077,473424.8955,1315286.981,2012,30.3,34.42,12.54,1.42,0.013,79.32
5079,391302.5952,1219018.366,2012,30.6,26.55,11.57,0.73,0.016,61.77
5081,162556.8087,1183225.108,2012,27.4,17.09,9.88,0.89,0.026,81.91
5083,206087.9587,1353403.041,2012,28.7,17.71,9.67,0.82,0.005,88.3
5085,373299.2293,1307381.435,2012,25.3,11.57,11.9,1.12,0.031,80.41
5087,203229.8493,1442388.352,2012,28.3,18.25,9.37,0.47,0.004,71.12
5089,295148.9411,1473943.42,2012,28.3,18.49,9.2,0.46,0.004,80.3
5091,195029.3472,1140265.061,2012,28.3,19.15,10.02,0.8,0.022,80.74
5093,532470.4543,1428975.558,2012,29.4,23.69,12.68,1.56,0.015,88.09
5095,435774.9556,1301719.597,2012,27.6,26.12,12.56,1.23,0.015,96.73
5097,213106.9019,1277843.282,2012,28.1,19.26,9.76,0.53,0.008,62.0
5099,247970.8945,1180864.704,2012,27.0,21.02,10.18,0.73,0.01,77.88
5101,248778.5402,1433394.497,2012,25.7,22.41,9.14,0.43,0.004,75.74
5103,287345.1173,1174251.825,2012,27.1,20.29,10.36,0.6,0.01,81.42
5105,277874.0963,1325399.075,2012,29.8,15.78,10.13,0.8,0.013,77.86
5107,469554.445,1275605.39,2012,28.5,32.67,12.62,1.25,0.009,96.09
5109,214452.0054,1235896.943,2012,26.8,17.61,9.84,0.6,0.01,78.84
5111,479240.9242,1404530.665,2012,31.8,22.97,12.89,1.45,0.021,109.6
5113,161456.3368,1270801.319,2012,28.1,20.29,9.33,0.52,0.011,73.24
5115,266862.4365,1381043.102,2012,23.9,16.72,9.76,0.76,0.006,79.17
5117,403371.9341,1317212.819,2012,27.2,17.45,12.43,1.01,0.024,82.59
5119,334765.1331,1307555.833,2012,23.1,15.04,11.44,1.17,0.03,63.49
5121,442039.221,1488555.733,2012,27.8,18.93,11.4,1.14,0.018,77.73
5123,474973.4109,1342390.793,2012,27.7,29.13,12.65,1.51,0.016,73.17
5125,302180.008,1292556.533,2012,26.3,9.31,10.68,0.85,0.024,61.2
5127,175621.6712,1313055.744,2012,29.3,21.01,9.44,0.63,0.007,79.36
5129,295163.9777,1433919.742,2012,29.0,24.67,9.18,0.5,0.006,85.27
5131,155813.0466,1350516.749,2012,27.8,16.32,9.93,0.99,0.007,72.36
5133,161324.8127,1216143.217,2012,27.3,20.04,9.74,0.76,0.018,71.48
5135,402854.2096,1466357.015,2012,28.5,21.26,10.34,0.78,0.024,70.53
5137,343883.5923,1430021.734,2012,28.1,20.9,9.64,0.51,0.016,68.19
5139,315228.8032,1128070.39,2012,27.1,18.95,10.56,0.7,0.008,86.21
5141,312908.4832,1397513.836,2012,27.9,18.52,9.78,0.65,0.01,67.07
5143,159433.1948,1437877.144,2012,22.3,15.46,9.92,0.76,0.007,63.24
5145,383682.6063,1364050.577,2012,25.8,16.22,11.77,1.05,0.027,80.82
5147,429367.2299,1358372.258,2012,28.9,25.88,12.49,1.25,0.025,90.41
5149,234284.15,1330289.996,2012,27.5,17.37,9.85,0.77,0.007,86.77
6001,-2234722.915,1929488.249,2012,12.9,10.99,8.98,5.99,0.0,38.62
6003,-2033713.929,1985978.13,2012,18.2,16.28,6.34,0.27,0.0,45.68
6005,-2107443.207,1987762.827,2012,22.4,10.59,7.38,0.72,0.0,51.66
6007,-2150252.492,2140994.288,2012,21.0,18.36,6.6,0.84,0.0,55.83
6009,-2106250.83,1959391.645,2012,19.7,11.0,7.96,0.71,0.0,47.54
6011,-2217214.631,2102795.251,2012,19.7,14.09,6.73,0.94,0.0,45.57
6013,-2229816.674,1959878.901,2012,13.9,8.45,9.29,5.19,0.0,39.61
6015,-2270489.272,2417815.955,2012,26.0,21.93,3.33,0.31,0.0,70.32
6017,-2087339.323,2020989.03,2012,16.9,8.0,6.53,0.54,0.0,41.56
6019,-2070617.273,1782733.704,2012,17.3,22.31,10.47,1.07,0.0,41.3
6021,-2217111.972,2151816.274,2012,21.5,17.02,6.16,0.69,0.0,54.78
6023,-2302676.8,2305251.467,2012,22.1,17.59,3.65,0.35,0.0,52.97
6025,-1785154.0,1290267.036,2012,16.2,23.09,7.07,0.8,0.0,35.17
6027,-1883524.089,1709044.101,2012,20.3,11.83,5.25,0.31,0.0,48.16
6029,-2028665.795,1609051.393,2012,17.4,20.2,8.39,1.14,0.0,48.86
6031,-2103384.742,1712092.444,2012,17.4,20.07,12.26,1.82,0.0,42.22
6033,-2262141.278,2106544.859,2012,23.2,18.28,4.96,0.61,0.0,69.75
6035,-2038744.849,2227611.966,2012,24.4,17.55,4.62,0.3,0.0,46.85
6037,-2011057.099,1487036.091,2012,13.4,16.83,10.78,5.14,0.0,34.02
6039,-2067279.165,1835026.141,2012,19.4,20.44,10.45,1.25,0.0,37.86
6041,-2291618.459,1995396.41,2012,12.2,7.29,6.57,2.56,0.0,30.72
6043,-2069173.944,1877544.01,2012,18.9,13.53,8.99,0.63,0.0,44.77
6045,-2303830.436,2158440.063,2012,22.0,16.79,3.98,0.48,0.0,49.49
6047,-2149157.533,1853334.408,2012,18.3,21.23,11.07,1.85,0.0,47.55
6049,-2022988.558,2329663.146,2012,20.9,19.04,4.29,0.25,0.0,45.95
6051,-1972999.433,1894718.388,2012,17.6,9.73,6.12,0.27,0.0,28.85
6053,-2221864.764,1759813.569,2012,15.4,14.31,7.05,1.1,0.0,35.2
